FID,ID_PARADA,CODI_PARADA,NOM_PARADA,DESC_PARADA,CODI_INTERC,NOM_INTERC,NOM_TIPUS_PARADA,NOM_TIPUS_SIMPLE_PARADA,DESC_TIPUS_PARADA,TIPIFICACIO_PARADA,ADRECA,ID_POBLACIO,NOM_POBLACIO,ID_DISTRICTE,NOM_DISTRICTE,DATA,NOM_VIA,NOM_PROPERA_VIA,GEOMETRY,PUNTS_PARADA
PARADES_ACTIVES.685993,685993,3208,Pg Maragall - Sta Joaquina Vedruna,Maragall/Santa Joaquima de Vedruna,0,,PALFIX,Pal,Parada Palfix,N,"Maragall, 135-143",748,Barcelona,627,Horta-Guinardó,2024-12-06,Passeig de Maragall,Carrer de Santa Joaquima de Vedruna,POINT (2.1799845849349264 41.42110980754415),1
PARADES_ACTIVES.686174,686174,3210,Pl del Nou - Estany,Cisell/Estany,0,,PALFIX,Pal,Parada Palfix,N,"Cisell, 1-5",748,Barcelona,623,Sants-Montjuïc,2024-12-06,Carrer del Cisell,Carrer de l'Estany,POINT (2.141550874927167 41.35341871169484),1
PARADES_ACTIVES.686344,686344,3217,Joan d'Alòs - Miret i Sans,Joan d'Alòs/Ardena,0,,PALFIX,Pal,Parada Palfix,N,"Joan D'alòs, 40-44",748,Barcelona,624,Les Corts,2024-12-06,Carrer de Joan d'Alòs,Carrer d'Ardena,POINT (2.10896862950755 41.393221414197875),1
PARADES_ACTIVES.686342,686342,3218,Abadessa Olzet - Montevideo,Abadessa Olzet/Panamà,0,,PALFIX,Pal,Parada Palfix,N,"Abadessa Olzet, 34",748,Barcelona,624,Les Corts,2024-12-06,Carrer de l'Abadessa Olzet,Carrer de Panama,POINT (2.10874176662618 41.39488119638577),1
PARADES_ACTIVES.686423,686423,3219,Panamà - Abadessa Olzet,Panamà/Pearson,0,,PALFIX,Pal,Parada Palfix,N,"Panama, 20",748,Barcelona,624,Les Corts,2024-12-06,Carrer de Panama,Avinguda de Pearson,POINT (2.107364465641922 41.39554794193642),1
PARADES_ACTIVES.686370,686370,3220,Av Pearson - Ptge Ametllers,Pearson/Joan d'Alòs,0,,PALFIX,Pal,Parada Palfix,N,"Pearson, 69-71",748,Barcelona,624,Les Corts,2024-12-06,Avinguda de Pearson,Carrer de Joan d'Alòs,POINT (2.104366210106569 41.39317416733511),1
PARADES_ACTIVES.686277,686277,3221,Hospital Vall d'Hebron,Pg. Vall d'Hebron/Av. Jordà,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Vall d'Hebron, 119-129 ",748,Barcelona,627,Horta-Guinardó,2024-12-06,Passeig de la Vall d'hebron,Avinguda del Jordà,POINT (2.143401622560594 41.42777465572817),1
PARADES_ACTIVES.688303,688303,3222,Palau Reial,Diagonal/Pius XII,0,,MONTMB,Monolit,Monolit Parada TMB,NXB,"Diagonal, 643",748,Barcelona,624,Les Corts,2024-12-06,Avinguda Diagonal,Plaça de Pius XII,POINT (2.117935833971292 41.38583211984118),1
PARADES_ACTIVES.688307,688307,3223,Pl Reina Maria Cristina,Diagonal/Pl. RªMª Cristina,7,Maria Cristina,MONTMB,Monolit,Monolit Parada TMB,NXB,"Diagonal, 623-627",748,Barcelona,624,Les Corts,2024-12-06,Avinguda Diagonal,Plaça de la Reina Maria Cristina,POINT (2.1257992586334686 41.38783413330048),1
PARADES_ACTIVES.688504,688504,3224,Padilla - Túnel de la Rovira,Padilla/Rovira,3,Alfons X,MONTMB,Monolit,Monolit Parada TMB,NXB,Padilla,748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer de Padilla,Túnel de la Rovira,POINT (2.1675627320153508 41.4128980403814),1
PARADES_ACTIVES.688029,688029,3225,Gornal,Av. Granvia/Av. Carmen Amaya,0,,FOSTOF,Marquesina,Marq. Foster O-F,NXB,"Av. Granvia, s/n",753,Hospitalet de Llobregat,0,,2024-12-06,Avinguda de la Gran Via de l'Hospitalet,Avinguda Carmen Amaya,POINT (2.1196322626942123 41.3531279267824),1
PARADES_ACTIVES.686311,686311,3226,Rda Guinardó - Lepant,Guinardó/Padilla,3,Alfons X,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Guinardó, 52 ",748,Barcelona,627,Horta-Guinardó,2024-12-06,Ronda del Guinardó,Carrer de Padilla,POINT (2.1674906669615552 41.412211921008605),1
PARADES_ACTIVES.693975,693975,3227,Rda Guinardó - Castillejos,Guinardó/Cartagena,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Guinardó, 80-86",748,Barcelona,627,Horta-Guinardó,2024-12-06,Ronda del Guinardó,Carrer de Cartagena,POINT (2.17036549136712 41.413519496421685),1
PARADES_ACTIVES.688490,688490,3229,Rda Guinardó - Parc de les Aigües,Guinardó/Abd el-Kader,3,Alfons X - Ronda Guinardó,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Rda. Guinardó, 33-47",748,Barcelona,627,Horta-Guinardó,2024-12-06,Ronda del Guinardó,Carrer d'Abd El-kader,POINT (2.166399832943082 41.41226147992768),1
PARADES_ACTIVES.687963,687963,3231,Marina - Monumental,Marina/Corts Catalanes,4,Monumental,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Marina, 169-175",748,Barcelona,622,Eixample,2024-12-06,Carrer de la Marina,Gran Via de les Corts Catalanes,POINT (2.1807533488004087 41.39936668671279),1
PARADES_ACTIVES.688542,688542,3232,Capità Arenas - Maria Cristina,Capità Arenas/Diagonal,7,Maria Cristina,MONTMB,Monolit,Monolit Parada TMB,NXB,"Capità Arenas, 3-5",748,Barcelona,624,Les Corts,2024-12-06,Carrer del Capità Arenas,Avinguda Diagonal,POINT (2.1266149205025395 41.38896299130704),2
PARADES_ACTIVES.688301,688301,3233,ETS d'Arquitectura,Diagonal/Adolf Florensa,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Diagonal, 647",748,Barcelona,624,Les Corts,2024-12-06,Avinguda Diagonal,Carrer d'Adolf Florensa,POINT (2.1139921265041735 41.38483770835059),1
PARADES_ACTIVES.688305,688305,3234,Pl Pius XII,Diagonal/Pius XII,0,,MONTMB,Monolit,Monolit Parada TMB,NXB,"Diagonal, 641",748,Barcelona,624,Les Corts,2024-12-06,Avinguda Diagonal,Plaça de Pius XII,POINT (2.1208938865502462 41.38658588817591),1
PARADES_ACTIVES.698439,698439,3236,Gran Via - Pl Espanya,Gran Via C.Catalanes/Espanya,1,Espanya,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Gran Via Corts Catalanes, 373-385",748,Barcelona,622,Eixample,2024-12-06,Gran Via de les Corts Catalanes,Plaça d'Espanya,POINT (2.149620657381958 41.375691290003196),1
PARADES_ACTIVES.688327,688327,3237,Tarragona - Pl Espanya,Tarragona/Diputació,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Tarragona, 72",748,Barcelona,622,Eixample,2024-12-06,Carrer de Tarragona,Carrer de la Diputació,POINT (2.148777863821584 41.375987433924955),1
PARADES_ACTIVES.693540,693540,3241,Pg de St Joan - Ausiàs March,Pg. Sant Joan/Alí Bei,0,,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Sant Joan, 7",748,Barcelona,622,Eixample,2024-12-06,Passeig de Sant Joan,Carrer d'Alí Bei,POINT (2.178677809663076 41.39240078097583),1
PARADES_ACTIVES.698162,698162,3242,Les Corts - Prat d'En Rull,Corts/Prat d'en Rull,0,,PALFIX,Pal,Parada Palfix,N,"Corts, 323-345",748,Barcelona,624,Les Corts,2024-12-06,Travessera de les Corts,Carrer del Prat d'en Rull,POINT (2.138246463419652 41.38873925386144),1
