stop_id,stop_name,coordinates
482,Les Corts - Maternitat,POINT (2.126648445149802 41.3812152721646)
483,Diagonal - Numància,POINT (2.131617420018137 41.38951262719177)
484,Les Corts - Vallespir,POINT (2.1327252989188414 41.38551551668131)
485,Mercat de Les Corts,POINT (2.129908012070754 41.383691463761195)
487,Mitre - Prat de la Riba,POINT (2.131300937466366 41.39327435015446)
491,Diagonal - Joan Güell,POINT (2.1281215594042298 41.38802586866684)
492,Diagonal - Av Joan XXIII,POINT (2.1229849851483484 41.38693206051302)
493,Diagonal - Gran Via Carles III,POINT (2.125576575198668 41.38758877815492)
494,Diagonal - Gandesa,POINT (2.128933942142265 41.38844259710555)
495,Av Mare de Déu de Montserrat - Cartagena,POINT (2.1698921824615547 41.41605148503482)
496,Pg Torras i Bages - Residència,POINT (2.190908919163344 41.43941514667252)
497,Alcántara - Garigliano,POINT (2.172429852871534 41.44552125096278)
498,Glòries,POINT (2.1906932014247404 41.4060855908908)
499,Gran Via - Padilla,POINT (2.183266755000235 41.40038901825531)
501,Colònia Tibidabo,POINT (2.119029768125384 41.42038046861074)
502,Diagonal - Girona,POINT (2.1663455409935435 41.39816403694813)
503,Metro Tetuan,POINT (2.173665520500619 41.3937615944896)
504,Mallorca - Girona,POINT (2.1679220178463963 41.39794850621017)
505,Trav de Dalt - La Granja,POINT (2.153526188509672 41.40884122177774)
506,Extremadura - Ctra Mataró,POINT (2.210998155680477 41.42354731565731)
508,Pl dels Indians,POINT (2.182622781541497 41.42356022416793)
509,Pl dels Indians,POINT (2.182838783045964 41.423600370754585)
510,Meridiana - La Sagrera,POINT (2.1870898497758766 41.42140202381298)
511,Meridiana - Cardenal Tedeschini,POINT (2.186340699383069 41.425019573170175)
512,Av de Sarrià - Mestre Villa,POINT (2.1327539995306535 41.39224215317502)
515,Balmes - Pàdua,POINT (2.1439593308726415 41.40304982242223)
516,Carles III - Numància,POINT (2.129243763554364 41.39168606620779)
517,Balmes - Pl Kennedy,POINT (2.1372634051624217 41.409236423315356)
519,Balmes - Pl Joaquim Folguera,POINT (2.139226496544503 41.40543969912909)
520,Av de Sarrià - Diagonal,POINT (2.136994730513428 41.3915923890236)
522,Via Augusta - Pl Orient,POINT (2.128858934144854 41.39768515867499)
523,Via Augusta - Ronda General Mitre,POINT (2.1320766831625053 41.397694727105254)
524,Diagonal - Ganduxer,POINT (2.1400225790372005 41.39164968454822)
525,Via Augusta - Modolell,POINT (2.1366747836691613 41.397855053923315)
526,Ganduxer - Alacant,POINT (2.1335741957080807 41.40018614933199)
